City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,-9.57,92,40,5.66,CA,1733770025
1,puerto natales,-51.7236,-72.4875,14.25,47,75,6.69,CL,1733770026
2,olonkinbyen,70.9221,-8.7187,-3.64,88,100,7.18,SJ,1733770027
3,oromocto,45.8351,-66.4792,-3.04,63,0,2.57,CA,1733770028
4,enewetak,11.3474,162.3373,27.82,79,23,8.17,MH,1733770029
5,fort mcmurray,56.7268,-111.381,-5.23,93,100,2.57,CA,1733770031
6,grytviken,-54.2811,-36.5092,2.79,67,26,4.22,GS,1733770032
7,adamstown,-25.066,-130.1015,22.77,75,25,7.91,PN,1733770033
8,albany,42.6001,-73.9662,1.97,90,100,1.8,US,1733770034
9,sur,22.5667,59.5289,22.74,46,4,2.73,OM,1733770035
10,muricay,7.8275,123.4782,25.24,92,67,0.74,PH,1733770036
11,kodiak,57.79,-152.4072,3.73,100,75,3.09,US,1733770037
12,mount gambier,-37.8333,140.7667,11.17,77,92,1.66,AU,1733770038
13,zapolyarnyy,69.4154,30.8136,-1.78,90,100,13.85,RU,1733770040
14,cobija,-11.0267,-68.7692,30.1,70,75,5.14,BO,1733770041
15,edinburgh of the seven seas,-37.0676,-12.3116,14.94,84,80,10.08,SH,1733770042
16,santa marta,11.2408,-74.199,33.03,61,20,2.68,CO,1733770043
17,yellowknife,62.456,-114.3525,-23.58,77,20,5.66,CA,1733769919
18,waitangi,-43.9535,-176.5597,16.01,98,100,0.45,NZ,1733770045
19,saint-francois,46.4154,3.9054,4.69,77,100,5.14,FR,1733770046
20,dunedin,-45.8742,170.5036,14.89,58,54,1.34,NZ,1733769792
21,hithadhoo,-0.6,73.0833,27.55,73,91,5.89,MV,1733770049
22,kingston,17.997,-76.7936,32.31,66,20,3.6,JM,1733770050
23,belmonte,-15.8631,-38.8828,27.91,68,3,5.72,BR,1733770051
24,abrud,46.2667,23.0667,2.23,100,100,0.82,RO,1733770052
25,kaihua,23.3687,104.28,10.68,96,100,2.85,CN,1733770053
26,karangampel,-6.4622,108.4519,26.69,83,100,2.69,ID,1733770054
27,ushuaia,-54.8,-68.3,13.81,44,40,4.12,AR,1733770055
28,puerto baquerizo moreno,-0.9,-89.6,24.55,78,75,6.69,EC,1733770057
29,gonabad,34.3529,58.6837,4.15,34,30,0.72,IR,1733770058
30,ribeira grande,38.5167,-28.7,19.22,72,40,8.94,PT,1733770059
31,alesund,62.4723,6.1549,5.08,76,35,8.75,NO,1733770060
32,juneau,58.3019,-134.4197,3.0,97,100,5.66,US,1733770062
33,palikir - national government center,6.9248,158.1611,28.2,78,100,9.6,FM,1733770063
34,nybro,56.7446,15.9071,3.45,75,100,4.26,SE,1733770065
35,nabire,-3.3667,135.4833,24.66,90,100,0.59,ID,1733770066
36,jamestown,42.097,-79.2353,6.8,100,100,2.57,US,1733770067
37,sept-iles,50.2001,-66.3821,-6.64,62,20,6.17,CA,1733770068
38,turpan,42.9333,89.1667,0.29,55,100,0.98,CN,1733770069
39,warrnambool,-38.3833,142.4833,13.2,74,100,3.03,AU,1733770070
40,poronaysk,49.2167,143.1167,-11.41,84,32,3.87,RU,1733770071
41,mount pearl,47.5166,-52.7813,2.96,86,75,11.32,CA,1733770072
42,badger,64.8,-147.5333,-1.07,80,75,3.09,US,1733770074
43,iskateley,67.6803,53.1512,-2.88,96,100,6.04,RU,1733770075
44,utrik,11.2278,169.8474,27.74,77,65,10.13,MH,1733770076
45,port mathurin,-19.6833,63.4167,24.93,79,100,6.91,MU,1733770077
46,hamilton,39.1834,-84.5333,13.14,86,100,4.12,US,1733770078
47,tiksi,71.6872,128.8694,-29.49,99,69,2.55,RU,1733770079
48,qaqortoq,60.7167,-46.0333,-5.34,86,100,2.4,GL,1733770081
49,ubinskoye,55.3068,79.6802,-22.5,99,70,2.9,RU,1733770082
50,port-aux-francais,-49.35,70.2167,3.58,80,92,12.77,TF,1733770083
51,west island,-12.1568,96.8225,25.99,94,75,9.26,CC,1733770084
52,codrington,-38.2667,141.9667,13.91,68,100,3.02,AU,1733770085
53,college,64.8569,-147.8028,-1.03,80,75,3.09,US,1733770086
54,port lincoln,-34.7333,135.8667,15.62,77,0,6.31,AU,1733770087
55,agogo,6.8,-1.0819,26.01,41,94,1.11,GH,1733770088
56,thompson,55.7435,-97.8558,-12.91,85,40,4.63,CA,1733770090
57,wailua homesteads,22.0669,-159.378,23.44,96,0,4.12,US,1733770091
58,hermanus,-34.4187,19.2345,18.78,80,100,0.92,ZA,1733770092
59,aykhal,66.0,111.5,-33.56,100,87,1.88,RU,1733770093
60,kapuskasing,49.4169,-82.4331,-8.95,67,100,8.75,CA,1733770094
61,ciudad melchor muzquiz,27.8833,-101.5167,27.93,15,0,6.3,MX,1733770095
62,blackmans bay,-43.0167,147.3167,12.07,85,100,0.89,AU,1733770096
63,helena valley southeast,46.6153,-111.9216,1.84,74,67,0.45,US,1733770098
64,fortuna,40.5982,-124.1573,10.55,87,0,3.09,US,1733770099
65,medina,24.4686,39.6142,24.24,20,0,2.06,SA,1733770100
66,ola,59.5833,151.2833,-13.74,79,98,5.34,RU,1733770101
67,gaspe,48.8334,-64.4819,-4.88,58,75,9.26,CA,1733770102
68,udachny,66.4167,112.4,-34.41,100,96,1.63,RU,1733770103
69,patong,7.8961,98.2966,26.08,81,100,1.61,TH,1733770104
70,stanley,54.868,-1.6985,5.85,79,20,3.09,GB,1733770105
71,papatowai,-46.5619,169.4708,13.54,56,100,5.53,NZ,1733770107
72,talnakh,69.4865,88.3972,-13.32,95,100,6.33,RU,1733770108
73,okha,53.5739,142.9478,-6.52,71,100,8.53,RU,1733770109
74,rio grande,-32.035,-52.0986,19.78,57,99,6.51,BR,1733770110
75,sorong,-0.8833,131.25,27.91,82,98,4.78,ID,1733770111
76,nyurba,63.2842,118.3319,-27.76,97,97,2.18,RU,1733770112
77,antsiranana,-12.2787,49.2917,25.86,79,4,5.52,MG,1733770113
78,santo antonio,-6.3106,-35.4789,30.47,47,85,8.63,BR,1733770115
79,weno,7.4515,151.8468,27.97,83,40,3.6,FM,1733770116
80,luderitz,-26.6481,15.1594,21.77,50,0,11.16,NA,1733770117
81,orsa,54.5153,30.4053,-1.25,94,100,2.88,BY,1733770118
82,avarua,-21.2078,-159.775,24.03,88,75,4.12,CK,1733770119
83,iqaluit,63.7506,-68.5145,-17.15,71,75,8.23,CA,1733770120
84,pacific grove,36.6177,-121.9166,18.57,64,0,4.47,US,1733770121
85,torre de moncorvo,41.1792,-7.0358,7.62,74,5,2.24,PT,1733770122
86,amal,59.051,12.7049,-0.97,73,6,1.75,SE,1733770124
87,anna regina,7.2644,-58.5077,27.23,78,32,3.58,GY,1733770125
88,brisas de zicatela,15.8369,-97.0419,29.29,74,0,2.57,MX,1733770126
89,muisne,0.6,-80.0333,26.06,72,70,3.73,EC,1733770128
90,khorugh,37.4897,71.553,-28.52,59,100,0.91,TJ,1733770129
91,nandurbar,21.3667,74.25,17.34,18,100,2.96,IN,1733770131
92,hadibu,12.65,54.0333,24.82,62,52,6.68,YE,1733770132
93,kavaratti,10.5669,72.642,27.6,74,56,3.75,IN,1733770133
94,bethel,41.3712,-73.414,8.05,83,100,3.09,US,1733770134
95,kailua-kona,19.6406,-155.9956,25.33,73,0,0.45,US,1733770135
96,carahue,-38.7,-73.1667,19.29,38,0,4.11,CL,1733770136
97,dudinka,69.4058,86.1778,-10.7,94,100,8.43,RU,1733770137
98,christchurch,-43.5333,172.6333,16.29,47,0,1.03,NZ,1733770071
99,hasaki,35.7333,140.8333,9.89,50,100,3.57,JP,1733770140
100,ugoofaaru,5.6667,73.0,26.67,79,97,1.93,MV,1733770141
101,klyuchi,52.2667,79.1667,-23.55,100,86,0.6,RU,1733770142
